"Mental Health related emergency department visits (annual) by Age (years) for Total mental health presentations by Sex"
"Age (years)","Presentation type","Sex","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"18-24 years","Total mental health presentations","Persons","15/16","2,594.7","2,557.5","2,632.4"
"18-24 years","Total mental health presentations","Persons","16/17","2,680.0","2,642.4","2,718.0"
"18-24 years","Total mental health presentations","Persons","17/18","2,683.1","2,645.7","2,720.9"
"18-24 years","Total mental health presentations","Persons","18/19","2,873.6","2,835.2","2,912.4"
"18-24 years","Total mental health presentations","Persons","19/20","2,960.6","2,921.8","2,999.9"
"18-24 years","Total mental health presentations","Persons","20/21","3,159.9","3,119.1","3,201.1"
"18-24 years","Total mental health presentations","Persons","21/22","3,384.1","3,340.7","3,427.8"
"18-24 years","Total mental health presentations","Persons","22/23","3,191.3","3,149.7","3,233.4"
"18-24 years","Total mental health presentations","Persons","23/24","2,977.3","2,938.3","3,016.7"
"18-24 years","Total mental health presentations","Persons","24/25","2,801.5","2,764.2","2,839.1"
"25-34 years","Total mental health presentations","Males","12/13","1,828.0","1,791.4","1,865.1"
"25-34 years","Total mental health presentations","Males","13/14","1,855.1","1,818.7","1,892.1"
"25-34 years","Total mental health presentations","Males","14/15","1,977.1","1,939.9","2,014.9"
"25-34 years","Total mental health presentations","Males","15/16","2,066.0","2,028.4","2,104.1"
"25-34 years","Total mental health presentations","Males","16/17","2,056.5","2,019.5","2,094.1"
"25-34 years","Total mental health presentations","Males","17/18","2,001.7","1,965.6","2,038.3"
"25-34 years","Total mental health presentations","Males","18/19","2,122.5","2,085.6","2,159.9"
"25-34 years","Total mental health presentations","Males","19/20","2,155.0","2,118.0","2,192.4"
"25-34 years","Total mental health presentations","Males","20/21","2,102.3","2,065.7","2,139.3"
"25-34 years","Total mental health presentations","Males","21/22","2,120.8","2,083.6","2,158.5"
"25-34 years","Total mental health presentations","Males","22/23","2,269.9","2,231.4","2,308.8"
"25-34 years","Total mental health presentations","Males","23/24","2,342.8","2,304.6","2,381.5"
"25-34 years","Total mental health presentations","Males","24/25","2,321.0","2,283.5","2,358.9"
"25-34 years","Total mental health presentations","Females","12/13","1,643.2","1,608.5","1,678.5"
"25-34 years","Total mental health presentations","Females","13/14","1,707.7","1,672.7","1,743.2"
"25-34 years","Total mental health presentations","Females","14/15","1,710.1","1,675.5","1,745.2"
"25-34 years","Total mental health presentations","Females","15/16","1,753.3","1,718.8","1,788.3"
"25-34 years","Total mental health presentations","Females","16/17","1,782.7","1,748.3","1,817.6"
"25-34 years","Total mental health presentations","Females","17/18","1,736.5","1,703.0","1,770.6"
"25-34 years","Total mental health presentations","Females","18/19","1,880.5","1,845.7","1,915.7"
"25-34 years","Total mental health presentations","Females","19/20","1,903.2","1,868.4","1,938.5"
"25-34 years","Total mental health presentations","Females","20/21","1,957.6","1,922.2","1,993.4"
"25-34 years","Total mental health presentations","Females","21/22","2,092.0","2,055.0","2,129.5"
"25-34 years","Total mental health presentations","Females","22/23","2,161.8","2,124.2","2,199.9"
"25-34 years","Total mental health presentations","Females","23/24","2,178.2","2,141.2","2,215.7"
"25-34 years","Total mental health presentations","Females","24/25","2,102.0","2,066.1","2,138.3"
"25-34 years","Total mental health presentations","Persons","12/13","1,735.7","1,710.5","1,761.2"
"25-34 years","Total mental health presentations","Persons","13/14","1,781.5","1,756.2","1,807.1"
"25-34 years","Total mental health presentations","Persons","14/15","1,843.6","1,818.2","1,869.3"
"25-34 years","Total mental health presentations","Persons","15/16","1,909.5","1,884.0","1,935.3"
"25-34 years","Total mental health presentations","Persons","16/17","1,919.6","1,894.3","1,945.2"
"25-34 years","Total mental health presentations","Persons","17/18","1,869.1","1,844.4","1,894.0"
"25-34 years","Total mental health presentations","Persons","18/19","2,001.9","1,976.5","2,027.5"
"25-34 years","Total mental health presentations","Persons","19/20","2,031.1","2,005.6","2,056.7"
"25-34 years","Total mental health presentations","Persons","20/21","2,031.6","2,006.1","2,057.3"
"25-34 years","Total mental health presentations","Persons","21/22","2,108.6","2,082.4","2,135.2"
