"Mental health related emergency department visits (monthly) by Age (years) for Total mental health presentations by Sex and LHD"
"Age (years)","Presentation type","Sex","LHD","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2019-Q2","336.6","280.4","400.8"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2019-Q3","363.3","304.8","429.8"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2019-Q4","362.6","304.2","429.0"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2020-Q1","400.2","337.3","471.4"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2020-Q2","392.5","330.2","463.1"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2020-Q3","377.1","316.1","446.4"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2020-Q4","375.7","314.8","444.9"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2021-Q1","390.6","326.2","463.9"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2021-Q2","410.2","344.1","485.2"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2021-Q3","424.5","357.3","500.7"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2021-Q4","407.2","341.4","481.9"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2022-Q1","391.4","328.0","463.6"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2022-Q2","388.5","325.3","460.4"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2022-Q3","407.5","342.7","481.0"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2022-Q4","433.1","366.2","508.7"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2023-Q1","372.3","314.6","437.6"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2023-Q2","361.6","304.7","425.9"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2023-Q3","356.5","300.1","420.5"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2023-Q4","350.8","294.9","414.3"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2024-Q1","440.3","370.6","519.2"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2024-Q2","446.5","376.3","526.0"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2024-Q3","433.2","364.2","511.6"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2024-Q4","434.8","365.6","513.3"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2025-Q1","391.1","326.5","464.7"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2025-Q2","391.8","327.2","465.5"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2025-Q3","366.1","303.7","437.5"
"18-24 years","Total mental health presentations","Males","Sydney LHD","2025-Q4","348.6","287.8","418.5"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2015-Q4","507.9","446.8","575.0"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q1","506.6","446.0","573.2"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q2","531.2","469.1","599.3"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q3","549.8","486.6","619.0"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q4","547.8","484.7","616.9"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q1","536.4","474.7","603.9"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q2","521.2","460.3","587.8"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q3","522.2","461.3","588.9"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q4","524.6","463.6","591.5"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q1","522.2","462.1","587.8"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q2","535.0","474.3","601.5"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q3","549.3","487.7","616.6"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q4","575.1","512.0","643.8"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2019-Q1","556.6","495.2","623.5"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2019-Q2","552.9","491.7","619.5"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2019-Q3","559.4","497.9","626.4"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2019-Q4","561.3","499.6","628.4"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2020-Q1","545.7","484.4","612.7"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2020-Q2","559.5","497.4","627.3"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2020-Q3","544.3","483.0","611.2"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2020-Q4","510.0","450.8","574.9"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2021-Q1","541.7","479.8","609.5"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2021-Q2","527.0","465.9","593.9"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2021-Q3","494.7","435.6","559.6"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2021-Q4","490.8","431.9","555.5"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2022-Q1","463.6","407.3","525.5"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2022-Q2","449.4","394.0","510.4"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2022-Q3","450.8","395.3","511.9"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2022-Q4","428.5","374.5","488.2"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2023-Q1","407.0","355.7","463.6"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2023-Q2","400.2","349.4","456.4"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2023-Q3","408.8","357.3","465.5"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2023-Q4","423.1","370.8","480.8"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2024-Q1","494.9","434.7","561.1"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2024-Q2","507.1","446.1","574.0"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2024-Q3","500.5","440.0","567.0"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2024-Q4","489.3","429.5","555.2"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2025-Q1","459.7","402.1","523.3"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2025-Q2","461.2","403.5","524.9"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2025-Q3","464.2","406.3","528.1"
"18-24 years","Total mental health presentations","Males","South Western Sydney LHD","2025-Q4","479.8","420.9","544.7"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2015-Q4","339.7","289.3","396.3"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2016-Q1","340.2","290.5","396.0"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2016-Q2","350.0","299.5","406.5"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2016-Q3","357.1","306.1","414.2"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2016-Q4","372.4","320.3","430.6"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2017-Q1","383.8","330.5","443.3"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2017-Q2","399.4","345.0","460.0"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2017-Q3","397.3","343.1","457.8"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2017-Q4","399.9","345.5","460.5"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2018-Q1","409.3","353.8","471.0"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2018-Q2","419.2","363.1","481.6"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2018-Q3","454.4","395.9","519.2"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2018-Q4","431.8","374.8","495.1"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2019-Q1","445.5","387.1","510.2"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2019-Q2","420.4","363.8","483.4"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2019-Q3","413.5","357.3","476.0"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2019-Q4","430.6","373.2","494.3"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2020-Q1","442.4","382.8","508.6"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2020-Q2","463.7","402.7","531.3"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2020-Q3","463.7","402.7","531.3"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2020-Q4","446.3","386.5","512.8"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2021-Q1","461.8","398.6","532.0"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2021-Q2","442.4","380.7","511.3"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2021-Q3","415.9","356.1","482.8"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2021-Q4","429.2","368.4","497.1"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2022-Q1","404.9","347.4","469.1"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2022-Q2","396.9","340.0","460.5"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2022-Q3","398.6","341.6","462.4"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2022-Q4","379.1","323.6","441.5"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2023-Q1","355.4","304.8","412.0"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2023-Q2","358.5","307.6","415.3"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2023-Q3","356.4","305.8","413.1"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2023-Q4","356.4","305.8","413.1"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2024-Q1","430.3","368.1","500.0"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2024-Q2","415.8","354.7","484.4"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2024-Q3","424.6","362.9","493.9"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2024-Q4","436.0","373.4","506.1"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2025-Q1","430.7","369.2","499.6"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2025-Q2","443.1","380.6","512.8"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2025-Q3","443.1","380.6","512.8"
"18-24 years","Total mental health presentations","Males","South Eastern Sydney LHD","2025-Q4","447.4","384.6","517.5"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2015-Q4","612.6","508.5","731.7"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2016-Q1","644.4","537.6","766.2"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2016-Q2","654.5","546.8","777.1"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2016-Q3","667.0","558.3","790.8"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2016-Q4","664.5","556.0","788.0"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2017-Q1","666.8","558.9","789.5"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2017-Q2","644.5","538.5","765.3"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2017-Q3","658.1","550.9","780.1"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2017-Q4","644.5","538.5","765.3"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2018-Q1","634.9","530.2","754.3"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2018-Q2","665.7","558.3","787.6"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2018-Q3","668.1","560.5","790.3"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2018-Q4","706.2","595.5","831.5"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2019-Q1","718.0","606.6","843.9"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2019-Q2","735.1","622.4","862.4"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2019-Q3","757.1","642.6","886.1"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2019-Q4","799.8","682.0","932.2"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2020-Q1","805.4","685.4","940.3"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2020-Q2","839.4","716.8","976.9"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2020-Q3","836.9","714.5","974.2"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2020-Q4","776.5","658.8","909.1"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2021-Q1","825.6","701.3","965.6"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2021-Q2","787.3","666.1","924.3"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2021-Q3","726.7","610.4","858.7"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2021-Q4","701.6","587.5","831.5"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2022-Q1","620.8","515.5","741.2"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2022-Q2","577.5","476.2","694.1"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2022-Q3","577.5","476.2","694.1"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2022-Q4","581.3","479.6","698.2"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2023-Q1","549.7","452.4","661.7"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2023-Q2","534.9","439.0","645.6"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2023-Q3","553.4","455.8","665.8"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2023-Q4","527.5","432.3","637.5"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2024-Q1","545.9","447.5","659.5"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2024-Q2","558.6","459.0","673.5"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2024-Q3","570.1","469.4","686.0"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2024-Q4","601.9","498.3","720.7"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2025-Q1","608.3","505.4","726.1"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2025-Q2","610.8","507.6","728.8"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2025-Q3","572.3","472.6","686.8"
"18-24 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2025-Q4","542.5","445.6","654.3"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2015-Q4","296.3","249.7","349.1"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2016-Q1","302.1","255.4","354.9"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2016-Q2","313.3","265.7","367.0"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2016-Q3","305.1","258.2","358.2"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2016-Q4","311.3","263.8","364.8"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2017-Q1","300.2","254.4","351.8"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2017-Q2","307.1","260.8","359.2"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2017-Q3","319.9","272.6","373.0"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2017-Q4","335.1","286.7","389.4"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2018-Q1","341.6","293.7","395.1"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2018-Q2","351.0","302.4","405.2"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2018-Q3","347.7","299.4","401.7"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2018-Q4","352.5","303.7","406.8"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2019-Q1","332.4","285.9","384.4"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2019-Q2","332.0","285.5","383.9"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2019-Q3","348.9","301.2","402.0"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2019-Q4","347.5","299.9","400.5"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2020-Q1","357.1","308.5","411.2"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2020-Q2","367.3","318.0","422.1"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2020-Q3","378.4","328.3","433.9"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2020-Q4","383.0","332.6","438.9"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2021-Q1","400.6","347.9","459.0"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2021-Q2","392.8","340.7","450.8"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2021-Q3","400.6","347.9","459.0"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2021-Q4","388.0","336.2","445.6"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2022-Q1","381.9","330.9","438.5"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2022-Q2","386.2","334.9","443.1"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2022-Q3","370.5","320.3","426.3"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2022-Q4","389.0","337.5","446.1"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2023-Q1","373.3","324.7","427.0"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2023-Q2","384.3","335.0","438.8"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2023-Q3","402.8","352.3","458.5"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2023-Q4","405.4","354.7","461.3"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2024-Q1","488.5","427.5","555.7"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2024-Q2","488.5","427.5","555.7"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2024-Q3","475.3","415.2","541.6"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2024-Q4","462.6","403.4","528.1"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2025-Q1","428.4","372.2","490.7"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2025-Q2","422.7","366.9","484.6"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2025-Q3","407.3","352.5","468.2"
"18-24 years","Total mental health presentations","Males","Western Sydney LHD","2025-Q4","407.8","353.0","468.7"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2015-Q4","745.1","624.2","882.6"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2016-Q1","730.0","610.4","866.3"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2016-Q2","731.4","611.6","867.8"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2016-Q3","717.5","598.9","852.6"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2016-Q4","762.1","639.7","901.0"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2017-Q1","706.2","589.1","839.9"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2017-Q2","664.8","551.3","794.8"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2017-Q3","610.9","502.3","736.0"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2017-Q4","551.4","448.6","670.9"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2018-Q1","529.6","429.6","645.9"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2018-Q2","552.7","450.5","671.3"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2018-Q3","574.5","470.1","695.2"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2018-Q4","581.3","476.3","702.6"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2019-Q1","593.3","488.0","714.7"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2019-Q2","583.9","479.5","704.4"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2019-Q3","594.7","489.2","716.1"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2019-Q4","614.8","507.4","738.1"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2020-Q1","643.9","532.3","772.0"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2020-Q2","664.7","551.2","794.6"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2020-Q3","686.8","571.3","818.7"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2020-Q4","695.1","578.9","827.7"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2021-Q1","707.1","587.6","843.9"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2021-Q2","708.6","588.9","845.4"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2021-Q3","701.4","582.3","837.6"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2021-Q4","733.0","611.2","872.0"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2022-Q1","747.9","626.0","886.6"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2022-Q2","753.6","631.2","892.8"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2022-Q3","746.5","624.7","885.1"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2022-Q4","685.8","569.3","819.2"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2023-Q1","652.6","540.4","781.2"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2023-Q2","603.0","495.4","727.1"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2023-Q3","603.0","495.4","727.1"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2023-Q4","623.7","514.1","749.7"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2024-Q1","669.7","552.2","804.9"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2024-Q2","734.6","611.3","875.6"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2024-Q3","747.9","623.4","890.0"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2024-Q4","767.1","640.9","910.9"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2025-Q1","781.7","655.1","925.7"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2025-Q2","775.9","649.8","919.4"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2025-Q3","802.1","673.8","947.8"
"18-24 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2025-Q4","764.3","639.1","906.8"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2015-Q4","397.1","336.4","465.7"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2016-Q1","399.4","338.9","467.5"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2016-Q2","410.3","349.0","479.3"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2016-Q3","412.9","351.4","482.1"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2016-Q4","416.8","355.0","486.3"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2017-Q1","415.6","354.2","484.5"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2017-Q2","436.0","373.1","506.4"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2017-Q3","450.0","386.0","521.5"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2017-Q4","464.0","399.0","536.5"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2018-Q1","461.4","397.2","532.9"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2018-Q2","451.4","387.9","522.2"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2018-Q3","451.4","387.9","522.2"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2018-Q4","431.3","369.4","500.7"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2019-Q1","404.7","345.2","471.4"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2019-Q2","401.6","342.4","468.1"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2019-Q3","383.2","325.4","448.2"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2019-Q4","381.9","324.3","446.9"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2020-Q1","378.5","320.3","444.2"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2020-Q2","365.2","308.1","429.9"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2020-Q3","360.2","303.5","424.4"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2020-Q4","338.1","283.2","400.4"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2021-Q1","354.3","296.6","420.0"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2021-Q2","359.6","301.5","425.8"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2021-Q3","369.0","310.0","435.9"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2021-Q4","415.7","353.0","486.4"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2022-Q1","427.0","365.0","496.5"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2022-Q2","448.5","384.9","519.6"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2022-Q3","483.3","417.1","556.9"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2022-Q4","488.9","422.4","563.0"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2023-Q1","446.7","386.1","514.0"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2023-Q2","455.9","394.6","523.9"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2023-Q3","427.1","368.0","493.1"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2023-Q4","415.7","357.3","480.8"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2024-Q1","450.7","387.8","520.8"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2024-Q2","450.1","387.3","520.2"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2024-Q3","456.2","393.0","526.8"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2024-Q4","452.5","389.6","522.8"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2025-Q1","425.3","364.8","493.0"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2025-Q2","412.0","352.5","478.7"
