"Intentional self-harm hospitalisations by Sex and Age (years)"
"Sex","Age (years)","Period","Age standardised rate per 100,000 population","LL 95% CI","UL 95% CI"
"Females","25-34 years","09/10","119.4","110.0","129.4"
"Females","25-34 years","10/11","113.4","104.3","123.0"
"Females","25-34 years","11/12","123.9","114.5","133.9"
"Females","25-34 years","12/13","127.4","117.9","137.4"
"Females","25-34 years","13/14","124.5","115.2","134.2"
"Females","25-34 years","14/15","120.5","111.5","130.0"
"Females","25-34 years","15/16","135.5","126.1","145.4"
"Females","25-34 years","16/17","138.1","128.7","148.0"
"Females","25-34 years","17/18","114.7","106.3","123.7"
"Females","25-34 years","18/19","109.8","101.5","118.5"
"Females","25-34 years","19/20","107.4","99.3","116.0"
"Females","25-34 years","20/21","110.5","102.1","119.3"
"Females","25-34 years","21/22","104.2","96.1","112.8"
"Females","25-34 years","22/23","85.5","78.2","93.2"
"Females","25-34 years","23/24","92.7","85.3","100.7"
"Females","35-44 years","01/02","91.1","82.9","99.8"
"Females","35-44 years","02/03","86.0","78.1","94.5"
"Females","35-44 years","03/04","97.1","88.6","106.1"
"Females","35-44 years","04/05","80.3","72.6","88.6"
"Females","35-44 years","05/06","96.6","88.1","105.6"
"Females","35-44 years","06/07","118.0","108.6","127.9"
"Females","35-44 years","07/08","112.3","103.2","121.9"
"Females","35-44 years","08/09","130.1","120.3","140.4"
"Females","35-44 years","09/10","129.0","119.3","139.3"
"Females","35-44 years","10/11","125.6","116.0","135.7"
"Females","35-44 years","11/12","131.6","121.8","141.9"
"Females","35-44 years","12/13","124.4","115.0","134.5"
"Females","35-44 years","13/14","129.7","120.1","140.0"
"Females","35-44 years","14/15","144.1","134.0","154.9"
"Females","35-44 years","15/16","129.1","119.5","139.2"
"Females","35-44 years","16/17","136.2","126.3","146.6"
"Females","35-44 years","17/18","113.2","104.3","122.7"
"Females","35-44 years","18/19","96.8","88.6","105.5"
"Females","35-44 years","19/20","81.0","73.6","89.0"
"Females","35-44 years","20/21","80.0","72.7","87.8"
"Females","35-44 years","21/22","64.1","57.6","71.0"
"Females","35-44 years","22/23","66.1","59.6","73.1"
"Females","35-44 years","23/24","62.4","56.2","69.1"
"Females","45-64 years","01/02","41.3","36.8","46.1"
"Females","45-64 years","02/03","50.2","45.3","55.5"
"Females","45-64 years","03/04","48.4","43.6","53.5"
"Females","45-64 years","04/05","50.9","46.1","56.1"
"Females","45-64 years","05/06","63.9","58.5","69.6"
"Females","45-64 years","06/07","62.1","56.9","67.7"
"Females","45-64 years","07/08","66.1","60.7","71.8"
"Females","45-64 years","08/09","69.4","63.9","75.2"
"Females","45-64 years","09/10","83.4","77.5","89.7"
"Females","45-64 years","10/11","76.9","71.2","82.9"
"Females","45-64 years","11/12","82.3","76.4","88.5"
"Females","45-64 years","12/13","100.7","94.2","107.6"
"Females","45-64 years","13/14","100.5","94.0","107.4"
"Females","45-64 years","14/15","101.1","94.6","108.0"
"Females","45-64 years","15/16","102.2","95.7","109.0"
"Females","45-64 years","16/17","96.9","90.6","103.4"
"Females","45-64 years","17/18","87.7","81.7","93.9"
"Females","45-64 years","18/19","83.9","78.1","90.0"
"Females","45-64 years","19/20","72.7","67.3","78.3"
"Females","45-64 years","20/21","66.2","61.1","71.5"
"Females","45-64 years","21/22","58.3","53.5","63.3"
"Females","45-64 years","22/23","55.9","51.2","60.9"
"Females","45-64 years","23/24","57.0","52.3","62.0"
"Females","65-74 years","01/02","22.2","16.6","29.1"
"Females","65-74 years","02/03","20.1","14.8","26.6"
"Females","65-74 years","03/04","18.0","13.0","24.2"
"Females","65-74 years","04/05","26.5","20.4","33.8"
"Females","65-74 years","05/06","21.7","16.3","28.4"
"Females","65-74 years","06/07","19.8","14.6","26.1"
"Females","65-74 years","07/08","24.6","18.9","31.5"
"Females","65-74 years","08/09","23.1","17.6","29.7"
"Females","65-74 years","09/10","23.0","17.7","29.5"
"Females","65-74 years","10/11","29.9","23.9","37.0"
"Females","65-74 years","11/12","28.6","22.8","35.5"
"Females","65-74 years","12/13","36.3","29.9","43.7"
"Females","65-74 years","13/14","35.4","29.1","42.6"
"Females","65-74 years","14/15","31.5","25.7","38.2"
"Females","65-74 years","15/16","35.5","29.4","42.4"
"Females","65-74 years","16/17","38.4","32.1","45.5"
"Females","65-74 years","17/18","29.9","24.5","36.1"
"Females","65-74 years","18/19","37.1","31.1","43.8"
"Females","65-74 years","19/20","33.1","27.6","39.4"
"Females","65-74 years","20/21","28.7","23.6","34.5"
"Females","65-74 years","21/22","31.4","26.2","37.4"
"Females","65-74 years","22/23","24.2","19.6","29.5"
"Females","65-74 years","23/24","24.3","19.8","29.6"
"Females","75+ years","01/02","19.8","14.6","26.2"
"Females","75+ years","02/03","22.2","16.8","28.8"
"Females","75+ years","03/04","27.7","21.7","34.8"
"Females","75+ years","04/05","21.5","16.1","28.0"
"Females","75+ years","05/06","20.3","15.2","26.6"
